time ,cn,text,viwer,numTokens,numLexTokens_valence,avgValence,numLexTokens_arousal,avgArousal,numLexTokens_dominance,avgDominance
"[0:0.100,0:6.825,0]",对的，呃，男孩儿女孩儿呃给你们做推荐，男孩儿女孩儿都能去穿的那后台你先帮我看一下哪个尺码要的多一点。,"That's right, uh, boys and girls. I'll recommend it to you. Both boys and girls can wear it backstage.",1139,12,3,0.595333333,3,0.389666667,3,0.460333333
"[0:6.825,0:8.825,1]",这不这不130要的多一点。,"No, no, 130, a little more.",1163,2,1,0.385,1,0.16,1,0.213
"[0:8.825,0:9.625,0]",130是吗？,130 Really?,1177,0,0,,0,,0,
"[0:9.625,0:11.950,0]",对的那我们就把130给大家多开一点吧。,That's right. Let's give the 130 a little more.,1177,4,2,0.5675,2,0.253,2,0.3565
"[0:11.950,0:14.900,0]",好的，其他尺码如果要的不多，我就不开那么多了啊。,"B: OK. If you don't want many other sizes, I won't open so many.",1177,8,3,0.587666667,3,0.450666667,3,0.475333333
"[0:15.050,0:20.800,0]",那这个衣服的话，今天我们给到大家最后一波幺幺五四十二斤的话，去买一个120就行了。,"A: Well, for this dress, we're giving you the last five hundred and forty-two pounds today. Go and buy a hundred and twenty.",1196,16,6,0.632333333,6,0.417333333,6,0.4585
"[0:21.100,0:23.050,0]",要买两件我就不限你单了。,I won't limit you to two.,1196,4,1,0.427,1,0.453,1,0.5
"[0:23.050,0:31.200,0]",今天第二次领券下单的宝妈可以再享受到50块钱的立减，所以左上角优惠券很重要，你们都检查一下领到了没？,"The second time today, the treasure mother can enjoy another 50 yuan instant discount, so the upper left corner of the coupon is very important, you all check to see if you got it?",1207,29,13,0.668846154,13,0.411769231,13,0.545615385
"[0:31.400,0:39.500,0]",领到券公屏上打个零证明，我发了你领了，咱们都没有什么问题，直接谈讲解，上车幺三幺八十斤买150就可以了。,"Received the ticket public screen to hit a zero proof, I sent you to get, we have no problems, talk directly to explain, on the car to buy 150 can be.",1215,25,11,0.670272727,11,0.488,11,0.564545455
"[0:39.500,0:41.875,0]",11036斤买个110就行了。,"A: 11036 catty, buy a 110 will do.",1215,3,2,0.7345,2,0.5885,2,0.6735
"[0:41.875,0:42.400,0]",领了吗？,Did you get it?,1215,3,1,0.74,1,0.594,1,0.667
"[0:42.550,0:43.200,0]",领了吗？,Did you get it?,1215,3,1,0.74,1,0.594,1,0.667
"[0:43.200,0:50.650,0]",都领好我就上车了啊，宝贝，如果说这个券没有领到的话，呢，我上车了之后，你要再问我去要券，我是发不出来了。,"I will get on the bus ah, baby, if I don't get this ticket, well, after I get on the bus, you want to ask me to get the ticket, I am not out.",1226,26,8,0.658375,8,0.534625,8,0.6075
