realtime,time,text,cn,Start Time (Decimal Minutes),Sentiment Score (-10 to 10),sentiment intensive,arousal_score,Chinese Char Count,Duration (Seconds),Words per Minute,viwer,
3,"[0:28.100,0:33.050,0]",The fabric used in this dress is very good. It has the effect of Kinlon heating sand self-heating and self-thermostatic.,这个衣服用的面料很好，有金纶发热沙自自发热自恒温那个效果。,0.47,9.1,9.1,10,27,4.95,327.2727273,1604,
3.08,"[0:33.100,0:40.700,0]","Baby's normal women's clothing store to sell this technology fabric, sell 6979 are cheap, yes, our home sell 59.",宝宝正常的女装店里卖个这种科技面料，卖个6979都便便宜吧，是的，咱们家卖个59。,0.55,2.75,2.75,3,31,7.6,244.7368421,1618,
3.22,"[0:41.250,0:41.850,1]",Not a good deal?,划不划算？,0.69,-3.5,3.5,4,4,0.6,400,1618,
3.23,"[0:41.850,0:43.025,1]",The price/performance ratio is very good.,性价比就很高了。,0.7,9.1,9.1,10,7,1.175,357.4468085,1628,
3.25,"[0:43.025,0:45.450,0]",I'll give you a new price today.,来今天给你开上新价格。,0.72,1.363636364,1.363636364,2,10,2.425,247.4226804,1628,
3.29,"[0:45.450,0:48.425,1]",Direct adult 49 only for a minute and a half.,直接大人的49只有一分半的时间。,0.76,0.083333333,0.083333333,1,13,2.975,262.1848739,1628,
3.34,"[0:48.425,0:50.875,0]",For the baby's 28th phase.,对宝宝的28期。,0.81,0,0,1,5,2.45,122.4489796,1628,
3.38,"[0:50.875,0:54.050,1]",Figure out the color and size and come to 321 for the link.,想好颜色跟尺码来321要链接。,0.85,0,0,1,11,3.175,207.8740157,1642,
3.43,"[0:54.100,0:59.175,1]",It's not enough to buy one piece that you really will be missing.,真的姐妹们人手去买个4件啊，买一件你真的会少的一件是不够的啊。,0.9,0,0,2,28,5.075,331.0344828,1642,
3.52,"[0:59.175,1:0.150,0]",122 Just shoot.,122就拍。,0.99,0,0,1,2,0.975,123.0769231,1642,
3.53,"[1:0.220,1:8.370,0]","Sanbao, I have this secret to tell you that if you have a little too much kamaka, buy more than half a yard online.",三宝宝，我这件隐跟你说就是，如果你卡玛卡的有点多，网上凑着买大半个码。,1,-0.108333333,0.108333333,1,31,8.15,228.2208589,1665,
3.67,"[1:8.570,1:16.070,0]","If if your Kamaka is small and thin, even if you shoot that half a yard into the small, like la la la.",如果如果你卡玛卡的小体重又比较瘦，哪怕你往小里拍那半个码都行，像啦啦啦。,1.14,-2.666666667,2.666666667,4,33,7.5,264,1681,
3.8,"[1:16.170,1:20.920,0]","If you are 122 tall and relatively thin, you can shoot 120 and still wear it.",如果你身高122，体重又比较瘦的，你哪怕拍120，你都能穿。,1.27,-4,4,6,20,4.75,252.6315789,1682,
3.88,"[1:20.970,1:29.220,0]","Because clothes like this must be closely worn, you can't wear too loose, that is, if you wear too big, the clothes do not touch, its warmth it will not be able to heat up with you.",因为像这样的衣服一定要贴身穿，你不能穿的太宽松，就是如果穿大了，这个衣服不挨身，它的温暖它就没有办法跟你一起发热了。,1.35,1.41025641,1.41025641,1,53,8.25,385.4545455,1683,
4.02,"[1:29.570,1:31.520,0]","The comfort level is very, very high, you know?",舒适度非常非常高，知道吗？,1.49,2.08,2.08,3,11,1.95,338.4615385,1681,
4.06,"[1:31.570,1:36.170,0]","Wear the top, you see, is you see my black single wear, it is high class high class.",穿上身来，你看一下，就是你看我的黑色单穿，它都是高级的高级。,1.53,1.163809524,1.163809524,3,26,4.6,339.1304348,1681,
4.13,"[1:36.170,1:41.670,0]","I remember to wear a little necklace, a little watch, or, uh, just a little bracelet, all facing open.",我记得到时候戴个小项链，戴个小手表，或者呃，随便一个小镯子啊，都朝开的手手链。,1.6,-1.40625,1.40625,1,34,5.5,370.9090909,1683,
4.22,"[1:41.670,1:49.045,0]","Well, just in case you put on a blazer and a trench coat, and now it's starting to get cold, a coat, trench coat, or a blazer will do.",这样，那万一到时候你套些西装外套风衣，现在天气开始凉了，呢个大衣、风衣、西装外套都可以啊。,1.69,-3,3,5,39,7.375,317.2881356,1683,
4.35,"[1:49.045,2:0.170,1]","127 height can go to buy a 130 baby ah, oatmeal color sample clothes just have other colors do not show him, just oatmeal and black and one of our white, these three they are our main color.",127的身高可以去买个130宝贝啊，燕麦色的样衣刚好有其他颜色没有直播间他呢，就燕麦色跟黑色跟我们的一个白色，这三个他们都是我们大主推的颜色。,1.82,-0.3125,0.3125,1,61,11.125,328.988764,1657,
4.53,"[2:0.260,2:2.110,1]",Be the adult you can buy these three colors.,就当那大人你可以去买这三个颜色。,2,1,1,3,15,1.85,486.4864865,1630,
4.57,"[2:2.160,2:9.860,1]","If you are a child, you must first buy it in white, because white, it is very easy to wear, but also wear alone, it can brighten the whole inside.",如果是小朋友的话呢，你首先白色一定要买它，因为白色的话呢，叠穿很好用，而且单穿也可以，它可以在里面整体提亮。,2.04,2.026666667,2.026666667,3,48,7.7,374.025974,1630,
4.7,"[2:9.960,2:19.135,0]","I'll show you the color again, you can see the oatmeal color is very high-grade, high-grade, but I'm wearing a little too big ah, wearing M, uh, you can see that I can wear S.",要颜色颜色再给你们过一下，可以来看燕麦色非常高级，高级，但是我穿的有点大了啊，穿的是M，呃，你看就是等于我穿S都行。,2.17,0.041666667,0.041666667,1,49,9.175,320.4359673,1625,
4.85,"[2:19.135,2:22.360,0]","You're wearing S because I'm thin now, so I can wear S.",是你穿S就因为我现在偏瘦，所以我可以穿S。,2.32,-4,4,4,17,3.225,316.2790698,1626,
4.9,"[2:22.410,2:24.485,0]","It's very, very comfortable to wear something snug.",穿的贴身一点，是非常非常舒服的。,2.37,5.2,5.2,7,14,2.075,404.8192771,1608,
4.94,"[2:24.485,2:26.385,0]",See if the stretch can hold two or three.,看弹力能装下两三个。,2.41,0,0,1,9,1.9,284.2105263,1608,
4.97,"[2:26.385,2:29.660,0]",I added the velvet color. Is it the color of our house?,我里面加了薄绒颜色，正是不是对我们家的颜色？,2.44,0,0,1,20,3.275,366.4122137,1608,
5.03,"[2:29.710,2:33.385,0]","Because Chen Ma is an art student, she is very sensitive to color.",因为陈妈就是个学艺术的，她对颜色是非常敏感的。,2.5,1.3,1.3,2,21,3.675,342.8571429,1597,
5.09,"[2:33.385,2:43.510,0]","Some people have different pink powder, she holds it in her hand, she can't see it, but Chen Ma has a little color difference, all see very, very obvious, he is not the right color.",有的人粉色不一样的粉，她拿在手上，她看不太出来，但是陈妈稍微有一点的色差，都看到非常非常的明显，他就颜色不对。,2.56,-0.003571429,0.003571429,1,49,10.125,290.3703704,1597,
5.26,"[2:43.510,2:45.410,0]","And every time I say what's wrong with the color, isn't it the same?",然后我每次说颜色哪里不对，不是一样的吗？,2.73,-2.5,2.5,2,18,1.9,568.4210526,1597,
5.29,"[2:45.410,2:47.185,1]",B: Forget this style. I have to take the clothes away.,这个款不讲了，衣服要拿走了。,2.76,0,0,1,12,1.775,405.6338028,1590,
5.32,"[2:47.185,2:48.485,1]",Let's take care of this first.,我们先把这个冲锋好吧。,2.79,2.5,2.5,3,10,1.3,461.5384615,1590,
5.34,"[2:48.485,2:50.960,0]","Tell me about the hardshell jacket. Yeah, we're taking it.",讲一波冲锋衣啊，对，要拿走了。,2.81,0,0,2,12,2.475,290.9090909,1590,
5.38,"[2:50.960,2:52.135,1]","Yes, charge to take it.",是是冲锋要拿走了。,2.85,0,0,1,8,1.175,408.5106383,1590,
5.4,"[2:52.135,2:57.560,0]","Ok, for the last time, the baby is just waiting for the three-in-one baby, your clothes have to take away, I can't open the back.",好，那我讲最后一次，宝宝是刚刚在等三合一的宝宝，你衣服要拿走了，我后面就不能开了。,2.87,1.25,1.25,2,36,5.425,398.156682,1590,
